r	intercept	slope	subcl	all
CRC1486PRX0A01001TUMD03000V2.fit.0.025_0.2.r2:1	0.711488506480942	0.915659971477834	NA	24	272
CRC1599LMX0A02001TUMD03000V2.fit.0.025_0.2.r2:1	0.90232800500946	5.07885606861032	NA	115	345
CRC1599PRX0A02002TUMD03000V2.fit.0.025_0.2.r2:1	0.915187488278097	2.22936445597084	NA	56	261
CRC1624LMX0B02001TUMD03000V2.fit.0.025_0.2.r2:1	0.913727132228682	8.77268596506272	NA	194	607
CRC1624PRX0B02001TUMD03000V2.fit.0.025_0.2.r2:1	0.775411492086313	2.40128281493502	NA	54	443
CRC1673LMX0B02004TUMD03000V2.fit.0.025_0.2.r2:1	0.84889708052863	0.168661641943524	NA	4	38
CRC1673PRX0B02001TUMD03000V2.fit.0.025_0.2.r2:1	0.895276278649885	2.76330876624469	NA	64	482
CRC1824LMX0A02001TUMD03000V2.fit.0.025_0.2.r2:1	0.912521327743901	4.02192278972979	NA	87	467
CRC1824PRX0A02003TUMD03000V2.fit.0.025_0.2.r2:1	0.733556434184198	3.46062834196233	NA	57	476
CRC2790LMX0A02001TUMD03000V2.fit.0.025_0.2.r2:1	0.911731832914246	3.49227364938364	NA	82	323
CRC2790PRX0A02001TUMD03000V2.fit.0.025_0.2.r2:1	0.9236056496512	3.13264909976867	NA	65	314
CRC0053LMX0A02204TUMD07000V2.fit.0.025_0.24.r2:1	0.959836277166454	1.42306461909206	NA	36	206
CRC0053PRX0A01201TUMD05000V2.fit.0.025_0.24.r2:1	0.984126002131155	1.19186628763801	NA	32	213
CRC0065LMX0B02205TUMD02000V2.fit.0.025_0.24.r2:1	0.454414218124513	9.17865944599021	NA	161	481
CRC0065PRX0A01201TUMD03000V2.fit.0.025_0.24.r2:1	0.867823476758895	6.90174213885144	NA	150	394
CRC0071LMX0A02204TUMD09000V2.fit.0.025_0.24.r2:1	0.930326691450866	2.39778683436565	NA	50	266
CRC0071PRX0A01201TUMD06000V2.fit.0.025_0.24.r2:1	0.887050567037875	1.64401179328396	NA	42	241
CRC0094LMX0A02201TUMD05000V2.fit.0.025_0.24.r2:1	0.941373592856109	5.17347882207874	NA	118	370
CRC0094PRX0A01201TUMD06000V2.fit.0.025_0.24.r2:1	0.890316037759322	1.2296951581397	NA	30	203
CRC0333LMX0A02204TUMD07000V2.fit.0.025_0.24.r2:1	0.985428746231793	3.55045843081198	NA	103	373
CRC0333PRX0A01201TUMD07000V2.fit.0.025_0.24.r2:1	0.990059187175175	1.91608182849812	NA	58	313
CRC0440LMX0A02001TUMD08000V2.fit.0.025_0.24.r2:1	0.800187193914211	3.19685904948717	NA	74	369
CRC0440PRX0A01001TUMD12000V2.fit.0.025_0.24.r2:1	0.991478439601481	0.456029701253199	NA	14	57
CRC0449LMX0A01001TUMD08000V2.fit.0.025_0.24.r2:1	0.679552764467662	1.1918020244391	NA	20	198
CRC0449PRX0A01001TUMD11000V2.fit.0.025_0.24.r2:1	0.978710951891145	2.98557267702575	NA	83	274
CRC0468LMX0B02004TUMD07000V2.fit.0.025_0.24.r2:1	0.994705871498196	0.615357884021663	NA	19	237
CRC0468PRX0B01001TUMD08000V2.fit.0.025_0.24.r2:1	0.930038648386029	1.87788338640825	NA	33	272
